Date,shore,gulls_terns,pel_corm,land,waders,waterfowl,Cloud,Temp,Precip,Wind,temporada,szn,obs,tide_height,tide_dir,mes,mes.yr,season,ciclo
9/12/13,867,315,286,12,34,3,5,80,0,2,14,1,"IE, CC",high,slack,9,13-Sep,1,14
9/27/13,2129,1996,363,4,50,1,2,80,0,5,14,1,"IE, CC",high,slack,9,13-Sep,1,14
10/11/13,793,587,506,6,18,0,0,72,0,2,14,1,"IE, CC",high,slack,10,13-Oct,1,14
10/25/13,1243,1508,459,1,57,0,0,75,0,1,14,1,"IE, CC",high,slack,10,13-Oct,1,14
11/7/13,2704,1473,4527,6,97,98,0,77,0,1,14,2,"IE, CC",low,slack,11,13-Nov,2,14
11/22/13,4881,5721,3349,6,341,51,95,70,0,2,14,2,"IE, CC",mid,slack,11,13-Nov,2,14
12/7/13,3486,3577,4546,3,163,341,95,65,0,1,14,2,"IE, CC, AF",high,slack,12,13-Dec,2,14
1/8/14,9644,227,98,5,94,11,70,50,0,1,14,2,"IE, CC, AF",mid,slack,1,14-Jan,2,14
1/23/14,7783,472,156,4,157,99,100,65,0,1,14,2,CC,mid,falling,1,14-Jan,2,14
2/3/14,12156,1444,342,7,50,130,5,65,0,1,14,2,"IE, CC",mid,slack,2,14-Feb,2,14
2/17/14,14543,1056,218,5,62,323,10,70,0,2,14,2,"IE, CC",mid,slack,2,14-Feb,2,14
3/3/14,6846,684,278,3,79,313,0,70,0,4,14,3,"IE, CC",mid,rising,3,14-Mar,1,14
3/18/14,8168,786,228,4,85,208,25,75,0,3,14,3,"IE, CC, NS, AY",mid,slack,3,14-Mar,1,14
3/31/14,4165,1394,212,3,53,448,0,80,0,1,14,3,"IE, CC, NS, AY",mid,rising,3,14-Mar,1,14
4/16/14,3818,758,250,1,74,399,95,80,0,3,14,3,"IE, NS, AY",high,slack,4,14-Apr,1,14
4/29/14,678,5048,206,4,48,208,65,80,0,5,14,3,"IE, CC",mid,rising,4,14-Apr,1,14
5/4/14,442,178,307,3,355,23,5,80,0,4,14,3,"IE, CC",mid,slack,5,14-May,1,14
5/17/14,359,94,82,7,240,11,0,85,0,0,14,3,"IE, CC",low,slack,5,14-May,1,14
6/18/14,247,149,284,2,241,1,25,85,0,0,14,3,"IE, CC",mid,slack,6,14-Jun,1,14
10/11/14,7751,497,133,15,297,1,15,80,0,1,15,1,"IE, TS, TH, TB, OO",high,falling,10,14-Oct,1,15
10/23/14,4385,1373,314,14,47,10,0,85,0,3,15,1,"IE, TH, TS",high,slack,10,14-Oct,1,15
