Date,migrants,residents,Cloud,Temp,Precip,Wind,temporada,szn,obs,tide_height,tide_dir,mes,mes.yr,season
2013-09-12,83,456,5,80,NA,2,14,1,"IE, CC",high,slack,9,09/13,1
2013-10-11,918,803,2,80,NA,5,14,1,"IE, CC",high,slack,9,09/13,1
2013-10-25,1352,1829,NA,72,NA,2,14,1,"IE, CC",high,slack,10,10/13,1
2013-10-27,975,1188,NA,75,NA,1,14,1,"IE, CC",high,slack,10,10/13,1
2013-11-07,2533,4998,NA,77,NA,1,14,2,"IE, CC",low,slack,11,11/13,2
2013-11-22,4514,5662,95,70,NA,2,14,2,"IE, CC",mid,slack,11,11/13,2
2013-12-07,4272,6545,95,65,NA,1,14,2,"IE, CC, AF",high,slack,12,12/13,2
2014-01-08,4260,253,70,50,NA,1,14,2,"IE, CC, AF",mid,slack,1,01/14,2
2014-01-23,1207,388,100,65,NA,1,14,2,CC,mid,falling,1,01/14,2
2014-02-03,7411,592,5,65,NA,1,14,2,"IE, CC",mid,slack,2,02/14,2
2014-02-17,6298,401,10,70,NA,2,14,2,"IE, CC",mid,slack,2,02/14,2
2014-03-03,1498,496,NA,70,NA,4,14,3,"IE, CC",mid,rising,3,03/14,1
2014-03-18,3093,502,25,75,NA,3,14,3,"IE, CC, NS, AY",mid,slack,3,03/14,1
2014-03-31,2082,384,NA,80,NA,1,14,3,"IE, CC, NS, AY",mid,rising,3,03/14,1
2014-04-16,1274,449,95,80,NA,3,14,3,"IE, NS, AY",high,slack,4,04/14,1
2014-04-29,1950,361,65,80,NA,5,14,3,"IE, CC",mid,rising,4,04/14,1
2014-05-04,438,701,5,80,NA,4,14,3,"IE, CC",mid,slack,5,05/14,1
2014-05-17,333,395,NA,85,NA,NA,14,3,"IE, CC",low,slack,5,05/14,1
2014-06-18,475,435,25,85,NA,NA,14,3,"IE, CC",mid,slack,6,06/14,1
2014-10-11,1176,618,15,80,NA,1,15,1,"IE, TS, TH, TB, OO",high,falling,10,10/14,1
2014-10-23,1105,906,NA,85,NA,3,15,1,"IE, TH, TS",high,slack,10,10/14,1
2014-11-05,2282,539,NA,75,NA,3,15,2,"TH, TS",mid,slack,11,11/14,2
2014-11-19,3565,338,NA,75,NA,2,15,2,"TH, TS, IE, TBC",low,slack,11,11/14,2
2014-12-03,2397,303,60,75,NA,1,15,2,"TH, TS",high,slack,12,12/14,2
2014-12-14,74,66,NA,75,NA,1,15,2,"TH, TS",high,slack,12,12/14,2
2015-01-14,3791,619,95,65,NA,2,15,2,"TH, TS",high,slack,1,01/15,2
2015-01-30,1985,263,100,60,NA,1,15,2,"TH, TS",high,slack,1,01/15,2
2015-02-05,1226,410,5,75,NA,1,15,2,"TH, EWC",mid,slack,2,02/15,2
2015-02-18,2442,213,70,70,NA,1,15,2,"TH, TS",mid,slack,2,02/15,2
2015-03-05,703,407,NA,75,NA,4,15,3,"TH, TS",mid,slack,3,03/15,1
2015-03-19,4541,356,10,70,9,2,15,3,TH,mid,slack,3,03/15,1
2015-03-31,2307,461,15,80,NA,1,15,3,"TH, TS",mid,slack,3,03/15,1
2015-04-15,1157,391,NA,80,NA,2,15,3,"TH, TS",mid,slack,4,04/15,1
2015-04-28,309,204,NA,85,NA,3,15,3,"TH, TS",mid,slack,4,04/15,1
2015-05-15,404,328,NA,80,NA,3,15,3,"TS, TH",mid,slack,5,05/15,1
2015-05-25,192,358,NA,80,NA,2,15,3,"TS, TH",mid,slack,5,05/15,1
2015-10-09,53,441,25,80,NA,2,16,1,LJA,high,slack,10,10/15,1
2015-10-14,315,779,50,85,NA,1,16,1,"LJA, CCR",low,slack,10,10/15,1
2015-10-29,539,806,30,80,NA,1,16,1,"LJA, CCR, MRL",low,slack,10,10/15,1
2015-11-03,66,1365,30,76,NA,2,16,2,"LJA, CCR, MRL",high,slack,11,11/15,2
2015-11-11,669,862,35,60,NA,2,16,2,"LJA, CCR, MRL",low,slack,11,11/15,2
2015-11-17,765,440,NA,55,NA,2,16,2,"LJA, CCR, MRL",mid,falling,11,11/15,2
2015-11-28,1372,1408,20,75,NA,1,16,2,"CCR, MRL",low,slack,11,11/15,2
2015-12-10,717,823,NA,55,NA,1,16,2,"CCR, MRL",low,slack,12,12/15,2
2016-01-07,321,123,40,60,NA,1,16,2,"LJA, MRL",mid,rising,1,01/16,2
2016-01-20,543,277,NA,70,NA,NA,16,2,"CCR, MRL",mid,rising,1,01/16,2
2016-01-28,410,101,10,60,NA,NA,16,2,"CCR, MRL",unk,slack,1,01/16,2
2016-02-09,245,97,NA,75,NA,NA,16,2,"LJA, MRL",low,slack,2,02/16,2
2016-02-16,368,109,NA,78,NA,1,16,2,"CCR, MRL",low,slack,2,02/16,2
2016-02-24,771,284,40,75,NA,2,16,2,"LJA, MRL",low,rising,2,02/16,2
2016-03-04,419,64,"NA","NA","NA","NA",16,3,"LJA, MRL",unk,slack,3,03/16,1
2016-03-08,1174,209,50,70,NA,1,16,3,"MRL, MAR",mid,rising,3,03/16,1
2016-03-14,1508,121,NA,70,NA,2,16,3,"MRL, MAR",mid,rising,3,03/16,1
2016-03-24,542,113,NA,72,NA,1,16,3,"CCR, MRL",mid,rising,3,03/16,1
2016-03-31,530,165,15,75,NA,3,16,3,"LJA, MRL, MAR",low,rising,3,03/16,1
2016-04-07,1653,161,100,70,NA,1,16,3,"MRL, MAR",mid,rising,4,04/16,1
2016-04-28,362,112,NA,75,NA,1,16,3,"MRL, MAR",low,slack,4,04/16,1
2016-05-17,100,339,5,85,NA,1,16,3,"CCR, HPP",mid,rising,5,05/16,1
2016-05-24,170,214,80,80,NA,1,16,3,"CCR, HPP",mid,rising,5,05/16,1
2016-10-03,409,220,NA,88,NA,2,17,1,"RJ, MH, LA",mid,rising,10,10/16,1
2016-10-20,431,737,NA,80,NA,2,17,1,"RJ, MH",mid,rising,10,10/16,1
2016-11-03,501,859,NA,80,NA,2,17,2,"RJ, MH, KS",mid,rising,11,11/16,2
2016-11-16,1236,2382,90,75,NA,1,17,2,"RJ, MH, KM",mid,rising,11,11/16,2
2016-11-27,949,1431,75,70,NA,1,17,2,"RJ, MH, AS",mid,rising,11,11/16,2
2016-12-08,1018,1391,NA,70,NA,1,17,2,"RJ, MH, AS",mid,rising,12,12/16,2
2017-01-10,954,136,27,67,NA,1,17,2,"RJ, AS",mid,rising,1,01/17,2
2017-01-26,793,606,35,65,NA,2,17,2,"RJ, MH, AS",mid,rising,1,01/17,2
2017-02-10,1701,551,NA,70,NA,2,17,2,"RJ, AS",mid,rising,2,02/17,2
2017-03-07,989,96,NA,74,NA,3,17,3,"MH, AS",mid,rising,3,03/17,1
2017-03-30,541,179,NA,77,NA,NA,17,3,"MH, AS",low,rising,3,03/17,1
2017-04-11,950,1247,5,80,NA,1,17,3,AS,unk,slack,4,04/17,1
2017-04-25,226,539,60,75,NA,1.5,17,3,"RJ, MH",low,rising,4,04/17,1
2017-05-10,57,578,NA,80,NA,1,17,3,"RJ, MH",low,rising,5,05/17,1
2017-05-26,54,1292,40,80,NA,1,17,3,"RJ, MH",low,slack,5,05/17,1
2017-09-27,387,270,NA,78,NA,2,18,1,"MH, RN, EG",low,rising,9,09/17,1
2017-10-14,178,346,NA,77,NA,1,18,1,"MH, RN, EG",mid,rising,10,10/17,1
2017-10-29,751,1236,NA,63,NA,2,18,1,"EG, MH",high,slack,10,10/17,1
2017-11-14,1491,1916,25,63,NA,3,18,2,"RN, MH",low,rising,11,11/17,2
2017-11-30,1151,816,20,63,NA,1,18,2,"RN, MH",mid,rising,11,11/17,2
2017-12-08,1287,667,NA,54,NA,4,18,2,"EG, RN",mid,falling,12,12/17,2
2018-01-07,1948,204,65,56,NA,1,18,2,"EG, MH",mid,falling,1,01/18,2
2018-01-26,1145,220,47,NA,NA,1,18,2,"MH, RN",mid,slack,1,01/18,2
2018-02-06,1278,529,98,55,NA,3,18,2,"RN, MH",mid,falling,2,02/18,2
2018-03-07,459,98,20,60,NA,1,18,3,"MH, AY",low,falling,3,03/18,1
2018-03-24,680,124,60,70,NA,1,18,3,"AY, EG",low,slack,3,03/18,1
2018-04-06,577,224,20,65,NA,1,18,3,"RN, EG",low,falling,4,04/18,1
2018-04-21,1033,121,80,67,NA,1,18,3,"RN, AY",low,falling,4,04/18,1
2018-05-19,222,210,NA,63,NA,2,18,3,"EG, RN",mid,falling,5,05/18,1
2018-05-30,73,204,5,76,NA,NA,18,3,"EG, AY",mid,falling,5,05/18,1
2018-10-09,839,1148,NA,69,NA,2,19,1,"RN, AH",low,rising,10,10/18,1
2018-10-31,375,782,NA,66,NA,2,19,1,"RN, AH",high,slack,10,10/18,1
2018-11-09,1772,1844,NA,65,NA,1,19,2,"AH, JM",low,slack,11,11/18,2
2018-11-28,1178,851,NA,55,NA,1,19,2,"AH, JM",high,falling,11,11/18,2
2018-12-06,1495,1859,30,54,NA,1,19,2,"AH, JM",low,rising,12,12/18,2
2018-12-15,2091,919,100,57,NA,1,19,2,"AH, JM",high,slack,12,12/18,2
2019-01-08,849,781,95,55,NA,1,19,2,"AH, JM",low,slack,1,01/19,2
2019-01-22,1461,751,NA,52,NA,2,19,2,"AH, JM",mid,slack,1,01/19,2
2019-02-08,832,675,NA,54,NA,1,19,2,"AH, JM, OR",mid,falling,2,02/19,2
2019-02-27,1129,209,NA,56,NA,NA,19,2,"AH, JM, OR",mid,slack,2,02/19,2
2019-03-12,1201,143,75,59,NA,3,19,3,"AH, JM, OR",low,falling,3,03/19,1
2019-03-29,1313,151,NA,65,NA,NA,19,3,"AH, JM",mid,slack,3,03/19,1
2019-04-10,2194,100,20,65,NA,4,19,3,"AH, JM, OR",mid,falling,4,04/19,1
2019-04-23,535,203,NA,61,NA,1,19,3,"AH, JM, OR",mid,falling,4,04/19,1
2019-05-08,44,118,NA,73,NA,1,19,3,"AH, JM, OR",low,slack,5,05/19,1
2019-05-29,112,197,NA,75,NA,2,19,3,"AH, JM",mid,rising,5,05/19,1
2019-10-02,1032,243,NA,68,NA,2,20,1,"AH, JM",mid,falling,10,10/19,1
2019-10-16,951,641,NA,78,NA,1,20,1,"AH, JM",mid,falling,10,10/19,1
2019-11-05,762,1040,NA,63,NA,1,20,2,"AH, JM",mid,rising,11,11/19,2
2019-11-28,1158,1553,100,67,NA,2,20,2,"AH, JM",mid,falling,11,11/19,2
2019-12-06,1105,1585,10,57,NA,2,20,2,"AH, JM",mid,rising,12,12/19,2
2019-12-17,2724,1505,10,52,NA,3,20,2,"AH, JM",mid,rising,12,12/19,2
2020-01-07,2194,661,30,50,NA,1,20,2,"AH, JM",mid,rising,1,01/20,2
2020-01-22,1734,883,40,55,NA,2,20,2,"JM, JE",low,rising,1,01/20,2
